cp_name,cp_name_masked,clean,bad,total,ratio
오토타임즈,ᄋᄐᄐᄋᄌ,1468,0,1468,0.0
동아사이언스,ᄃᄋᄉᄋᄋᄉ,1328,0,1328,0.0
월간산,ᄋᄀᄉ,545,0,545,0.0
IT동아,I○ᄃᄋ,521,0,521,0.0
한경비즈니스,ᄒᄀᄇᄌᄂᄉ,448,0,448,0.0
OSEN,O○○○,439,0,439,0.0
월간 아웃도어,ᄋᄀ○ᄋᄋᄃᄋ,326,0,326,0.0
한겨레21,ᄒᄀᄅ21,290,0,290,0.0
월간 전원속의 내집,ᄋᄀ○ᄌᄋᄉᄋ○ᄂᄌ,255,0,255,0.0
지디넷코리아,ᄌᄃᄂᄏᄅᄋ,5555,3,5558,0.0005397625044980209
스포츠동아,ᄉᄑᄎᄃᄋ,1022,1,1023,0.0009775171065493646
전자신문,ᄌᄌᄉᄆ,11168,13,11181,0.0011626867006528934
하이닥,ᄒᄋᄃ,1423,2,1425,0.0014035087719298245
SBSCNBC,S○○○○○○,8535,12,8547,0.001404001404001404
매경게임진,ᄆᄀᄀᄋᄌ,637,1,638,0.001567398119122257
게임동아,ᄀᄋᄃᄋ,629,1,630,0.0015873015873015873
디지털타임스,ᄃᄌᄐᄐᄋᄉ,8947,15,8962,0.001673733541620174
코메디닷컴,ᄏᄆᄃᄃᄏ,1715,3,1718,0.0017462165308498253
조선비즈,ᄌᄉᄇᄌ,10257,18,10275,0.0017518248175182481
더팩트,ᄃᄑᄐ,6388,12,6400,0.001875
투어코리아,ᄐᄋᄏᄅᄋ,1871,5,1876,0.0026652452025586353
bnt뉴스,b○○ᄂᄉ,366,1,367,0.0027247956403269754
일간스포츠,ᄋᄀᄉᄑᄎ,1333,4,1337,0.0029917726252804786
연합뉴스 보도자료,ᄋᄒᄂᄉ○ᄇᄃᄌᄅ,6724,21,6745,0.0031134173461823574
오마이뉴스,ᄋᄆᄋᄂᄉ,12447,39,12486,0.0031234983181162904
데일리안,ᄃᄋᄅᄋ,8501,27,8528,0.0031660412757973733
미디어오늘,ᄆᄃᄋᄋᄂ,1500,5,1505,0.0033222591362126247
매경이코노미,ᄆᄀᄋᄏᄂᄆ,549,2,551,0.003629764065335753
KBS,K○○,36662,134,36796,0.003641700184802696
EBS,E○○,1085,4,1089,0.0036730945821854912
게임톡,ᄀᄋᄐ,521,2,523,0.0038240917782026767
아이뉴스24,ᄋᄋᄂᄉ24,7349,30,7379,0.004065591543569589
YTN,Y○○,36907,152,37059,0.004101567770312205
시사IN,ᄉᄉ○○,469,2,471,0.004246284501061571
JTBC,J○○○,10179,45,10224,0.0044014084507042256
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,39777,176,39953,0.004405176081896228
엘르,ᄋᄅ,223,1,224,0.004464285714285714
머니S,ᄆᄂ○,22505,104,22609,0.004599938077756645
매일경제,ᄆᄋᄀᄌ,10977,51,11028,0.004624591947769314
웨딩21뉴스,ᄋᄃ21ᄂᄉ,1492,7,1499,0.004669779853235491
MBC,M○○,21719,106,21825,0.004856815578465063
스포츠조선,ᄉᄑᄎᄌᄉ,2589,13,2602,0.004996156802459646
스포츠경향,ᄉᄑᄎᄀᄒ,1843,10,1853,0.005396654074473826
연합뉴스TV,ᄋᄒᄂᄉ○○,21300,118,21418,0.005509384629750677
SBS,S○○,16802,105,16907,0.006210445377654226
서울경제,ᄉᄋᄀᄌ,24314,152,24466,0.006212703343415352
헬스조선,ᄒᄉᄌᄉ,2520,16,2536,0.006309148264984227
연합뉴스,ᄋᄒᄂᄉ,132136,873,133009,0.006563465630145328
스냅,ᄉᄂ,1860,13,1873,0.0069407367859049655
한국경제TV,ᄒᄀᄀᄌ○○,7145,51,7196,0.007087270705947749
한국경제,ᄒᄀᄀᄌ,19998,144,20142,0.0071492403932082215
이데일리,ᄋᄃᄋᄅ,33093,241,33334,0.007229855402891942
아시아경제,ᄋᄉᄋᄀᄌ,37614,280,37894,0.007389032564522088
신동아,ᄉᄃᄋ,397,3,400,0.0075
쿠키뉴스,ᄏᄏᄂᄉ,28557,217,28774,0.007541530548411761
머니투데이,ᄆᄂᄐᄃᄋ,39845,328,40173,0.008164687725586837
한국일보,ᄒᄀᄋᄇ,23439,198,23637,0.008376697550450564
시사저널,ᄉᄉᄌᄂ,2450,21,2471,0.0084985835694051
한겨레,ᄒᄀᄅ,11603,102,11705,0.00871422469030329
마리끌레르,ᄆᄅᄁᄅᄅ,218,2,220,0.00909090909090909
MBN,M○○,7405,68,7473,0.00909942459520942
채널A,ᄎᄂ○,4418,42,4460,0.009417040358744395
중앙SUNDAY,ᄌᄋ○○○○○○,506,5,511,0.009784735812133072
프레시안,ᄑᄅᄉᄋ,13992,140,14132,0.009906594961788848
헤럴드경제,ᄒᄅᄃᄀᄌ,26872,286,27158,0.010530966934236689
경향신문,ᄀᄒᄉᄆ,18204,195,18399,0.01059840208706995
뉴시스,ᄂᄉᄉ,106641,1165,107806,0.010806448620670464
기자협회보,ᄀᄌᄒᄒᄇ,358,4,362,0.011049723756906077
뉴스1,ᄂᄉ1,127505,1490,128995,0.011550835303693942
SBS funE,S○○○○○○○,413,5,418,0.011961722488038277
노컷뉴스,ᄂᄏᄂᄉ,28852,351,29203,0.012019313084272164
우먼동아일보,ᄋᄆᄃᄋᄋᄇ,492,6,498,0.012048192771084338
문화일보,ᄆᄒᄋᄇ,9150,114,9264,0.012305699481865285
세계일보,ᄉᄀᄋᄇ,20668,281,20949,0.013413528092033033
동아일보,ᄃᄋᄋᄇ,14342,199,14541,0.013685441166357197
서울신문,ᄉᄋᄉᄆ,20995,295,21290,0.013856270549553781
국민일보,ᄀᄆᄋᄇ,18669,278,18947,0.014672507520979575
조선일보,ᄌᄉᄋᄇ,18286,275,18561,0.014816012068315284
이코노미조선,ᄋᄏᄂᄆᄌᄉ,396,6,402,0.014925373134328358
중앙일보,ᄌᄋᄋᄇ,24779,401,25180,0.0159253375694996
키즈맘,ᄏᄌᄆ,2125,38,2163,0.01756819232547388
